frame,track_id,plate_text,x1,y1,x2,y2,time
1,6,LUbj,1246,1008,1745,1426,1760287706.1275573
1,5,WWISU,2197,1154,2785,1736,1760287706.1953793
1,3,NAI? NRU,752,1369,1430,1982,1760287706.2830052
1,1,WWISU,2043,879,2427,1226,1760287706.3342545
20,13,Id 27,2212,1084,2698,1346,1760287712.6597586
20,10,J27,2231,813,2564,1083,1760287712.7122724
98,11,Oococ,2159,460,2483,783,1760287732.8850796
159,9,I0.51,814,578,952,725,1760287749.1505084
194,37,Occ),2199,478,2544,870,1760287758.5070448
201,8,I0:61,1176,1028,1630,1425,1760287760.2815444
